protocol,function,algorithm,run,best,n_fes,max_iter,seconds
equal_iterations,F30,GWO,5,822924372.2825592,15030,500,8.962086899991846
equal_iterations,F30,GWO,6,364171130.0749042,15030,500,9.054510799993295
equal_iterations,F30,GWO,7,158499832.52309027,15030,500,11.697229400000651
equal_iterations,F30,GWO,8,707272152.1910554,15030,500,11.695966899991618
equal_iterations,F30,GWO,9,322520885.85281813,15030,500,11.632025500002783
equal_iterations,F30,HHO,0,95739599.4370366,28242,500,21.051988499995787
equal_iterations,F30,HHO,1,13264786.593534764,27468,500,15.493053500002134
equal_iterations,F30,HHO,2,653604.8936375433,28120,500,15.769888999988325
equal_iterations,F30,HHO,3,74606559.9025004,27690,500,15.584106499998597
equal_iterations,F30,HHO,4,16077098.15628176,27834,500,16.219399900001008
equal_iterations,F30,HHO,5,21673425.160533722,27580,500,20.474423799998476
equal_iterations,F30,HHO,6,6370949.771636158,28144,500,21.577691000013147
equal_iterations,F30,HHO,7,34920798.72689725,27878,500,19.60168250001152
equal_iterations,F30,HHO,8,64630417.34303759,27404,500,21.139752100003534
equal_iterations,F30,HHO,9,8329830.670773281,27388,500,20.78874820000783
equal_iterations,F30,BFO,0,437409.03181933693,26429,500,20.63553499999398
equal_iterations,F30,BFO,1,576622.3230688828,26373,500,20.578570199999376
equal_iterations,F30,BFO,2,688657.3045341484,26485,500,15.072601599997142
equal_iterations,F30,BFO,3,2734729.098100913,26740,500,15.153697899993858
equal_iterations,F30,BFO,4,3607261.5170654138,27009,500,21.015811400007806
equal_iterations,F30,BFO,5,255426.30383585015,27139,500,15.728236499999184
equal_iterations,F30,BFO,6,151621.488322461,26623,500,15.393932600010885
equal_iterations,F30,BFO,7,105992.32591287071,26252,500,17.882419199988362
equal_iterations,F30,BFO,8,223144.1107825998,26826,500,15.655582799998228
equal_iterations,F30,BFO,9,276509.6146580932,26281,500,14.974178300006315
equal_iterations,F30,TSA,0,450916.53173170076,44901,500,32.57001599999785
equal_iterations,F30,TSA,1,1308764.8637593347,44929,500,39.56810619999305
equal_iterations,F30,TSA,2,6450313.31031395,44946,500,38.83029769999848
equal_iterations,F30,TSA,3,4501840.080752875,45099,500,33.267969000007724
equal_iterations,F30,TSA,4,2143316.9750829083,44858,500,32.509960299998056
equal_iterations,F30,TSA,5,8260026.089066112,45153,500,44.11731809999037
equal_iterations,F30,TSA,6,1286986.637183911,44633,500,40.61426360000041
